index,s1,s2,s3,s4,s5
0,94,81,89,89,80
1,88,97,84,86,82
2,81,90,80,97,95
3,91,89,83,94,81
4,92,89,94,92,86
5,81,80,80,82,91
6,98,86,83,98,98
7,96,91,88,98,90
8,96,93,94,95,99
9,86,94,99,88,91
10,97,84,98,93,80
11,94,96,89,82,88
12,80,80,85,94,80
13,84,89,93,99,89
14,96,90,83,91,88
15,82,81,94,87,94
16,85,96,92,96,88
17,85,88,85,80,99
18,91,89,99,91,91
19,99,89,98,99,84
20,92,94,97,87,91
21,89,84,98,95,96
22,88,91,98,98,82
23,87,82,87,84,80
24,99,90,80,90,86
25,83,80,96,93,94
26,86,99,92,85,85
27,83,98,95,93,91
28,82,96,94,89,90
29,99,83,94,82,81
30,80,91,84,83,89
31,92,97,91,91,93
32,82,82,93,88,91
33,82,94,93,90,89
34,86,82,98,96,84
35,84,83,98,89,80
36,94,97,80,98,83
37,80,96,96,88,86
38,97,89,93,93,97
39,92,82,87,92,91
40,85,81,87,88,92
41,89,90,89,90,94
42,87,99,83,84,99
43,85,97,80,91,86
44,81,91,95,88,89
45,85,86,88,85,96
46,82,91,80,87,89
47,96,85,99,86,96
48,98,96,96,90,95
49,89,80,91,96,84
50,93,84,84,85,99
51,82,80,88,94,87
52,88,95,80,98,84
53,81,97,88,93,85
54,96,84,85,95,95
55,90,88,98,85,85
56,86,96,94,97,89
57,83,93,93,93,85
58,85,93,98,95,93
59,87,96,87,84,80
60,96,86,89,88,80
61,80,89,99,80,92
62,99,93,92,99,82
63,86,88,83,96,95
64,80,92,97,85,84
65,90,91,82,96,85
66,81,89,80,97,89
67,86,92,94,95,87
68,89,84,97,81,86
69,98,83,89,80,83
70,90,97,91,90,98
71,87,84,84,99,96
72,94,91,80,89,94
73,83,97,95,86,88
74,85,94,86,99,90
75,89,89,85,84,82
76,90,89,99,88,99
77,98,98,97,90,94
78,81,82,99,88,82
79,97,86,97,86,88
80,91,96,97,89,83
81,98,82,84,93,91
82,97,82,81,81,96
83,97,87,93,90,88
84,93,84,95,82,93
85,84,84,91,81,94
86,92,90,84,99,89
87,95,84,88,92,82
88,83,85,95,83,98
89,85,80,88,83,99
90,82,84,94,98,80
91,80,92,94,99,82
92,88,81,87,95,86
93,98,90,84,85,83
94,86,81,85,86,95
95,96,85,91,80,82
96,93,99,83,86,98
97,88,88,99,88,92
98,80,91,82,85,93
99,84,98,97,99,83
100,81,99,93,90,89
101,82,95,89,88,93
102,81,99,86,96,87
103,96,85,89,97,82
104,82,88,94,93,96
105,88,86,86,98,96
106,82,99,82,96,89
107,82,93,89,95,80
108,96,90,83,90,99
109,91,81,94,88,94
110,95,98,94,93,84
111,89,84,80,94,85
112,88,92,94,94,92
113,81,80,89,98,82
114,89,83,92,80,95
115,85,97,90,92,94
116,86,91,82,85,84
117,80,80,90,96,87
118,90,99,88,89,81
119,97,88,85,97,80
120,90,80,97,86,91
121,93,83,87,90,91
122,93,97,91,98,91
123,91,88,81,82,87
124,81,81,86,95,97
125,91,84,88,89,87
126,90,96,85,88,88
127,90,95,93,87,98
128,90,90,80,95,99
129,90,81,82,93,84
130,92,89,91,88,95
131,96,81,93,80,94
132,89,87,88,84,86
133,84,83,80,92,80
134,86,88,84,85,92
135,80,94,97,87,86
136,98,95,87,82,95
137,81,83,81,93,80
138,80,83,90,82,87
139,82,93,97,99,91
140,93,94,90,85,80
141,81,81,84,97,96
142,88,87,91,82,97
143,97,91,84,92,94
144,93,99,91,84,81
145,99,84,92,87,84
146,88,83,96,81,96
147,87,89,90,92,80
148,96,80,81,93,87
149,94,84,97,96,86
150,94,99,97,93,94
151,90,91,80,94,87
152,85,97,92,99,91
153,97,99,93,86,89
154,95,82,97,83,85
155,91,89,86,89,83
156,95,92,96,90,89
157,91,90,80,86,90
158,90,93,96,89,96
159,99,91,82,93,97
160,82,93,93,99,82
161,84,97,81,90,82
162,86,97,83,85,82
163,86,88,83,80,84
164,80,85,91,89,97
165,83,97,88,93,81
166,95,88,94,89,91
167,93,83,87,93,91
168,92,96,89,83,92
169,82,88,93,93,87
170,89,93,94,94,84
171,86,92,92,92,84
172,97,97,84,81,82
173,96,95,84,99,97
174,92,90,89,91,97
175,92,85,92,90,93
176,81,92,94,81,80
177,99,81,81,96,95
178,98,84,95,84,81
179,93,81,97,93,80
180,97,97,89,84,85
181,97,92,99,98,97
182,84,90,89,93,80
183,94,95,94,97,95
184,90,87,96,90,91
185,94,94,88,98,98
186,91,96,80,81,89
187,93,91,80,95,97
188,85,98,99,89,94
189,89,93,85,95,89
190,85,90,97,91,83
191,91,84,88,90,80
192,98,96,97,87,95
193,80,80,97,81,85
194,98,96,97,98,80
195,83,87,83,92,89
196,89,95,95,92,88
197,82,92,81,92,96
198,87,93,83,93,83
199,97,93,85,90,92
200,90,98,89,81,94
201,95,95,97,80,89
202,80,86,99,99,98
203,92,93,88,87,92
204,82,95,91,93,97
205,94,90,95,96,92
206,82,92,95,90,80
207,86,81,94,93,97
208,91,99,95,81,94
209,99,98,97,89,95
210,81,93,95,85,81
211,82,97,80,85,95
212,87,91,92,98,98
213,88,82,93,90,98
214,88,83,87,98,85
215,92,94,97,99,99
216,99,83,94,91,91
217,93,86,91,95,83
218,82,82,83,99,81
219,85,86,83,81,98
220,80,83,81,81,81
221,96,88,82,88,82
222,93,91,83,80,82
223,83,89,89,90,91
224,97,97,88,96,90
225,80,86,85,99,86
226,92,90,81,99,98
227,92,98,92,82,89
228,85,87,92,87,93
229,93,88,81,81,99
230,93,94,91,96,81
231,80,83,86,91,92
232,87,91,92,97,92
233,89,83,97,98,94
234,84,98,96,82,97
235,89,86,80,95,97
236,89,87,80,98,83
237,80,84,91,80,93
238,98,98,85,88,80
239,84,85,82,93,96
240,99,90,95,80,83
241,91,96,96,95,89
242,85,95,88,87,88
243,99,80,89,99,96
244,88,96,81,83,98
245,92,82,86,97,94
246,81,94,95,97,80
247,81,87,99,97,87
248,96,81,86,99,83
249,95,96,97,81,88
250,89,90,96,94,96
251,97,93,81,83,87
252,84,83,87,95,97
253,82,91,80,83,84
254,92,85,91,97,84
255,90,99,93,91,97
256,80,80,99,95,82
257,84,95,91,91,85
258,86,93,81,80,90
259,86,87,91,90,91
260,86,95,90,85,89
261,90,91,93,99,83
262,98,95,99,87,93
263,96,94,96,96,85
264,96,80,96,95,90
265,88,91,97,94,98
266,91,87,82,87,92
267,92,87,83,86,80
268,96,80,80,85,82
269,82,87,85,82,86
